Country,Happiness Rank,Happiness Score,Economy (GDP per Capita),Health (Life Expectancy),Generosity,Freedom,Trust (Government Corruption)
Czech Republic,31,6.505,1.17898,0.84483,0.10686,0.46363999999999994,0.02652
Uruguay,32,6.485,1.06166,0.8116,0.2324,0.6036199999999999,0.24558000000000002
Colombia,33,6.477,0.91861,0.69077,0.18400999999999998,0.53466,0.0512
Thailand,34,6.455,0.9669,0.7385,0.5763,0.5566399999999999,0.031869999999999996
Saudi Arabia,35,6.4110000000000005,1.39541,0.72025,0.13706,0.31048000000000003,0.32524000000000003
Spain,36,6.329,1.23011,0.95562,0.18227000000000002,0.45951000000000003,0.06398
Malta,37,6.3020000000000005,1.2074,0.88721,0.51752,0.60365,0.13585999999999998
Kuwait,39,6.295,1.5542200000000002,0.72492,0.16228,0.55499,0.25609
El Salvador,42,6.13,0.76454,0.67737,0.10692,0.4035,0.11775999999999999
Guatemala,43,6.122999999999999,0.74553,0.64425,0.27489,0.57733,0.09472
Slovakia,45,5.995,1.1689100000000001,0.7890199999999999,0.16893,0.31751,0.03431
Japan,46,5.987,1.27074,0.99111,0.10705,0.49615,0.1806
South Korea,47,5.984,1.24461,0.9653799999999999,0.18557,0.33208000000000004,0.07857
Ecuador,48,5.975,0.8640200000000001,0.79075,0.11540999999999998,0.48573999999999995,0.1809
Bahrain,49,5.96,1.32376,0.74716,0.17362,0.45492,0.306
Italy,50,5.9479999999999995,1.25114,0.9544600000000001,0.22823000000000002,0.26236,0.02901
Bolivia,51,5.89,0.68133,0.5392,0.20536,0.57414,0.08800000000000001
Moldova,52,5.888999999999999,0.59448,0.61826,0.20951,0.32818,0.01615
Paraguay,53,5.877999999999999,0.75985,0.66098,0.3424,0.53899,0.08242000000000001
Kazakhstan,54,5.855,1.1225399999999999,0.64368,0.11827,0.51649,0.08454
Slovenia,55,5.848,1.18498,0.8733700000000001,0.25328,0.60855,0.03787
Lithuania,56,5.832999999999999,1.14723,0.73128,0.026410000000000003,0.21341999999999997,0.01031
Nicaragua,57,5.827999999999999,0.59325,0.7431399999999999,0.27815,0.55475,0.19317
Peru,58,5.824,0.9001899999999999,0.73017,0.14982,0.41496000000000005,0.05989
Belarus,59,5.813,1.0319200000000002,0.7360800000000001,0.11045999999999999,0.37938,0.1909
Poland,60,5.791,1.12555,0.77903,0.16759000000000002,0.53122,0.04212
Malaysia,61,5.77,1.12486,0.7239399999999999,0.33075,0.5302399999999999,0.10500999999999999
Croatia,62,5.7589999999999995,1.08254,0.78805,0.054439999999999995,0.25883,0.0243
Libya,63,5.754,1.13145,0.7038,0.18295,0.41668,0.11023
Russia,64,5.716,1.13764,0.6692600000000001,0.00199,0.36679,0.03005
Jamaica,65,5.709,0.81038,0.6874100000000001,0.2123,0.50442,0.02299
Cyprus,67,5.689,1.20813,0.92356,0.30638000000000004,0.40671999999999997,0.06146
Algeria,68,5.605,0.93929,0.61766,0.07822,0.28579,0.17382999999999998
Mauritius,71,5.477,1.0076100000000001,0.7095,0.37744,0.56066,0.07521
Estonia,73,5.428999999999999,1.15174,0.77361,0.0868,0.44888,0.15184
Indonesia,74,5.399,0.8282700000000001,0.63793,0.51535,0.46611,0.0
Vietnam,75,5.36,0.63216,0.7467600000000001,0.1686,0.59444,0.10440999999999999
Turkey,76,5.332000000000001,1.06098,0.73172,0.12253,0.22815,0.15746
Kyrgyzstan,77,5.2860000000000005,0.47428000000000003,0.65088,0.3003,0.43477,0.042319999999999997
Nigeria,78,5.268,0.65435,0.16007000000000002,0.27233,0.34334000000000003,0.0403
Bhutan,79,5.252999999999999,0.77042,0.57407,0.47998,0.5320600000000001,0.15445
Azerbaijan,80,5.212000000000001,1.02389,0.64045,0.07799,0.3703,0.16065
Pakistan,81,5.194,0.59543,0.51466,0.33671,0.12102,0.10464000000000001
Jordan,82,5.192,0.9019799999999999,0.69639,0.11052999999999999,0.40660999999999997,0.14293
Montenegro,82,5.192,0.9743799999999999,0.72521,0.1614,0.1826,0.14296
China,84,5.14,0.89012,0.81658,0.08185,0.5169699999999999,0.02781
Zambia,85,5.129,0.47038,0.29924,0.19591,0.48827,0.12468
Romania,86,5.124,1.04345,0.7689,0.13748,0.35068,0.006490000000000001
Serbia,87,5.122999999999999,0.92053,0.74836,0.19230999999999998,0.20107,0.02617
Portugal,88,5.102,1.15991,0.8751899999999999,0.13719,0.51469,0.01078
Latvia,89,5.098,1.11312,0.72437,0.18225999999999998,0.29671,0.06332
Philippines,90,5.073,0.70532,0.58114,0.24991,0.62545,0.12279000000000001
Morocco,92,5.013,0.7347899999999999,0.60954,0.07172,0.41691000000000006,0.08546000000000001
Albania,95,4.959,0.8786700000000001,0.81325,0.14272,0.35733000000000004,0.06412999999999999
Dominican Republic,98,4.885,0.8953700000000001,0.66825,0.21684,0.57672,0.14234000000000002
Mongolia,100,4.874,0.82819,0.60268,0.3323,0.43626000000000004,0.026660000000000003
Greece,102,4.857,1.15406,0.88213,0.0,0.07699,0.013969999999999998
Lebanon,103,4.8389999999999995,1.0256399999999999,0.83947,0.21854,0.33916,0.04582
Hungary,104,4.8,1.12094,0.75905,0.128,0.32111999999999996,0.02758
Honduras,105,4.788,0.59532,0.6951,0.23026999999999997,0.40148,0.06825
Tajikistan,106,4.7860000000000005,0.39047,0.5737899999999999,0.22974,0.47216,0.15072
Tunisia,107,4.739,0.88113,0.73793,0.06431,0.26268,0.06358
Iran,110,4.686,1.0088,0.69805,0.38086,0.30033000000000004,0.058629999999999995
Ukraine,111,4.681,0.79907,0.6739,0.15275,0.25123,0.02961
Iraq,112,4.677,0.98549,0.60237,0.17922000000000002,0.0,0.13788
South Africa,113,4.6419999999999995,0.9204899999999999,0.27688,0.11972999999999999,0.33207,0.08884
Ghana,114,4.633,0.5455800000000001,0.40131999999999995,0.23087,0.42341999999999996,0.04355
Zimbabwe,115,4.61,0.271,0.33475,0.18987,0.25861,0.08079
Liberia,116,4.571000000000001,0.0712,0.34201,0.24361999999999998,0.28531,0.06232000000000001
India,117,4.565,0.64499,0.5152899999999999,0.26475,0.39786,0.08492000000000001
Haiti,119,4.518,0.26673,0.38847,0.46187,0.24425,0.17175
Nepal,121,4.513999999999999,0.35996999999999996,0.5687399999999999,0.32295999999999997,0.38282,0.059070000000000004
Ethiopia,122,4.512,0.19072999999999998,0.44055,0.24325,0.4345,0.15048
Sierra Leone,123,4.507,0.33024000000000003,0.0,0.21488000000000002,0.4084,0.08786000000000001
Mauritania,124,4.436,0.45407,0.35874,0.21899999999999997,0.24231999999999998,0.17461
Kenya,125,4.419,0.36471,0.41435,0.37542,0.42215,0.05839
Armenia,127,4.35,0.7682100000000001,0.7299,0.07855,0.19847,0.039
Botswana,128,4.332,0.99355,0.047760000000000004,0.10461,0.49495,0.12474
Myanmar,129,4.3069999999999995,0.27108000000000004,0.48246000000000006,0.79588,0.44017,0.19034
Georgia,130,4.297,0.7419,0.72926,0.055470000000000005,0.40576999999999996,0.38331
Malawi,131,4.292,0.016040000000000002,0.22562,0.33128,0.43054,0.06977
Sri Lanka,132,4.271,0.83524,0.70806,0.40828000000000003,0.5372600000000001,0.09179
Cameroon,133,4.252,0.4225,0.23401999999999998,0.20618000000000003,0.49309,0.05786
Bulgaria,134,4.218,1.01216,0.76649,0.11921,0.30587,0.00872
Egypt,135,4.194,0.8818,0.61712,0.11291,0.17288,0.06324
Yemen,136,4.077,0.5464899999999999,0.40064,0.09131,0.35570999999999997,0.07854
Mali,138,3.995,0.26074,0.20583,0.18798,0.38856999999999997,0.12352
Uganda,141,3.931,0.21101999999999999,0.33860999999999997,0.29066,0.45726999999999995,0.07267
Senegal,142,3.904,0.36498,0.4354,0.20843000000000003,0.36772,0.10712999999999999
Gabon,143,3.8960000000000004,1.06024,0.43372,0.06822,0.31914000000000003,0.11091
Cambodia,145,3.819,0.46038,0.61114,0.40359,0.66246,0.07247
Tanzania,146,3.781,0.2852,0.38215,0.34376999999999996,0.32878,0.05747000000000001
Madagascar,147,3.681,0.20824,0.46721,0.21333000000000002,0.19184,0.08123999999999999
Chad,149,3.667,0.34193,0.1501,0.18386,0.23501,0.05269
Guinea,150,3.656,0.17417,0.24009,0.28657,0.37725,0.12139000000000001
Burkina Faso,152,3.5869999999999997,0.25811999999999996,0.27125,0.21746999999999997,0.39493,0.12832000000000002
Rwanda,154,3.465,0.22208000000000003,0.42863999999999997,0.22628,0.59201,0.55191
Benin,155,3.34,0.28665,0.3191,0.1826,0.4845,0.0801
Syria,156,3.0060000000000002,0.6632,0.7219300000000001,0.47179,0.15684,0.18905999999999998
Burundi,157,2.905,0.0153,0.22396,0.19727,0.1185,0.10062
Togo,158,2.839,0.20868,0.28443,0.16680999999999999,0.36453,0.10730999999999999
