Country,Happiness Rank_2015,Happiness Score_2015,Economy (GDP per Capita)_2015,Health (Life Expectancy)_2015,Generosity_2015,Freedom_2015,Trust (Government Corruption)_2015,Happiness Rank_2016,Happiness Score_2016,Economy (GDP per Capita)_2016,Health (Life Expectancy)_2016,Generosity_2016,Freedom_2016,Trust (Government Corruption)_2016,Happiness Rank_2017,Happiness Score_2017,Economy (GDP per Capita)_2017,Health (Life Expectancy)_2017,Generosity_2017,Freedom_2017,Trust (Government Corruption)_2017,Happiness Rank_2018,Happiness Score_2018,Economy (GDP per Capita)_2018,Health (Life Expectancy)_2018,Generosity_2018,Freedom_2018,Trust (Government Corruption)_2018,Happiness Rank_2019,Happiness Score_2019,Economy (GDP per Capita)_2019,Health (Life Expectancy)_2019,Generosity_2019,Freedom_2019,Trust (Government Corruption)_2019,Economic Freedom Rank,Economic Freedom Score
United States,15,7.119,1.3945100000000001,0.86179,0.40105,0.54604,0.1589,13,7.104,1.50796,0.779,0.41076999999999997,0.48163,0.14868,14,6.993000030517581,1.54625928401947,0.7742866277694699,0.392578780651093,0.505740523338318,0.135638788342476,18,6.886,1.3980000000000001,0.8190000000000001,0.29100000000000004,0.547,0.133,19,6.892,1.433,0.8740000000000001,0.28,0.45399999999999996,0.128,6,8.22
Brazil,16,6.983,0.98124,0.69702,0.14574,0.49049,0.17521,17,6.952000000000001,1.08754,0.61415,0.15775999999999998,0.40425,0.14165999999999998,22,6.6350002288818395,1.1073532104492199,0.6165523529052729,0.16234989464282998,0.437453746795654,0.11109276115894301,28,6.419,0.986,0.675,0.11,0.493,0.08800000000000001,32,6.3,1.004,0.802,0.099,0.39,0.086,101,6.56
Luxembourg,17,6.946000000000001,1.5639100000000001,0.91894,0.28034000000000003,0.61583,0.37798000000000004,20,6.871,1.6975200000000001,0.8454200000000001,0.27571,0.5487,0.35329,18,6.86299991607666,1.74194359779358,0.845089495182037,0.283180981874466,0.59662789106369,0.31883442401886,17,6.91,1.5759999999999998,0.8959999999999999,0.196,0.632,0.321,14,7.09,1.609,1.012,0.19399999999999998,0.526,0.316,31,7.75
Ireland,18,6.94,1.33596,0.89533,0.45901000000000003,0.6177699999999999,0.28703,19,6.907,1.4834100000000001,0.81455,0.44963000000000003,0.54008,0.29754,15,6.9770002365112305,1.5357066392898602,0.8097826242446899,0.42785832285881,0.5731103420257571,0.29838815331459007,14,6.977,1.4480000000000002,0.8759999999999999,0.307,0.614,0.306,16,7.021,1.499,0.9990000000000001,0.298,0.516,0.31,10,8.13
Belgium,19,6.937,1.30782,0.8966700000000001,0.2225,0.5845,0.2254,18,6.928999999999999,1.42539,0.8195899999999999,0.2424,0.51354,0.26248,17,6.89099979400635,1.4637807607650801,0.8180918693542479,0.23150333762168898,0.5397707223892211,0.251343131065369,16,6.9270000000000005,1.324,0.894,0.188,0.583,0.24,18,6.922999999999999,1.3559999999999999,0.986,0.16,0.473,0.21,48,7.56
United Arab Emirates,20,6.901,1.42727,0.80925,0.26428,0.64157,0.38583,28,6.5729999999999995,1.57352,0.72993,0.26591,0.56215,0.35561,21,6.6479997634887695,1.6263433694839498,0.726798236370087,0.3609419465065,0.60834527015686,0.324489563703537,20,6.774,2.096,0.67,0.18600000000000003,0.284,0.08199999999999999,21,6.825,1.5030000000000001,0.825,0.262,0.598,0.182,71,7.05
United Kingdom,21,6.867000000000001,1.26637,0.90943,0.51912,0.59625,0.32066999999999996,23,6.725,1.40283,0.80991,0.50156,0.50036,0.27399,19,6.71400022506714,1.44163393974304,0.805335938930511,0.492774158716202,0.508190035820007,0.265428066253662,11,7.19,1.244,0.888,0.262,0.46399999999999997,0.08199999999999999,15,7.053999999999999,1.3330000000000002,0.996,0.348,0.45,0.278,13,8.08
Venezuela,23,6.81,1.04424,0.7205199999999999,0.058410000000000004,0.42908,0.11069000000000001,44,6.084,1.1336700000000002,0.6190399999999999,0.0425,0.19847,0.08304,82,5.25,1.12843120098114,0.617144227027893,0.0650196298956871,0.15399712324142498,0.0644911229610443,102,4.806,0.996,0.657,0.055999999999999994,0.133,0.052000000000000005,108,4.707,0.96,0.805,0.064,0.154,0.047,152,3.34
Singapore,24,6.797999999999999,1.52186,1.02525,0.31105,0.54252,0.4921,22,6.739,1.64555,0.94719,0.32706,0.4877,0.46986999999999995,26,6.57200002670288,1.69227766990662,0.9494923949241642,0.345965981483459,0.549840569496155,0.46430778503417997,34,6.343,1.5290000000000001,1.008,0.261,0.631,0.457,34,6.2620000000000005,1.5719999999999998,1.141,0.271,0.556,0.45299999999999996,2,8.65
Panama,25,6.7860000000000005,1.0635299999999999,0.79661,0.24434,0.5421,0.0927,25,6.7010000000000005,1.18306,0.70835,0.2418,0.48927,0.08423,30,6.4520001411438,1.23374843597412,0.706156134605408,0.21055693924427,0.550026834011078,0.070983923971653,27,6.43,1.112,0.759,0.125,0.597,0.063,31,6.321000000000001,1.149,0.91,0.109,0.516,0.054000000000000006,27,7.8
