Country,Happiness Rank_2015,Happiness Score_2015,Economy (GDP per Capita)_2015,Health (Life Expectancy)_2015,Generosity_2015,Freedom_2015,Trust (Government Corruption)_2015,Happiness Rank_2016,Happiness Score_2016,Economy (GDP per Capita)_2016,Health (Life Expectancy)_2016,Generosity_2016,Freedom_2016,Trust (Government Corruption)_2016,Happiness Rank_2017,Happiness Score_2017,Economy (GDP per Capita)_2017,Health (Life Expectancy)_2017,Generosity_2017,Freedom_2017,Trust (Government Corruption)_2017,Happiness Rank_2018,Happiness Score_2018,Economy (GDP per Capita)_2018,Health (Life Expectancy)_2018,Generosity_2018,Freedom_2018,Trust (Government Corruption)_2018,Happiness Rank_2019,Happiness Score_2019,Economy (GDP per Capita)_2019,Health (Life Expectancy)_2019,Generosity_2019,Freedom_2019,Trust (Government Corruption)_2019,Economic Freedom Rank,Economic Freedom Score,QuantileRank,Happiness Score_avg,Economy_avg,Health_avg,Generosity_avg,Freedom_avg,Trust_avg
Ethiopia,122,4.512,0.19072999999999998,0.44055,0.24325,0.4345,0.15048,115,4.508,0.29283000000000003,0.34578000000000003,0.29522,0.36703,0.1717,119,4.46000003814697,0.339233845472336,0.35340970754623396,0.31265074014663696,0.408842742443085,0.16545571386814098,127,4.35,0.308,0.391,0.22,0.452,0.146,134,4.2860000000000005,0.336,0.532,0.209,0.344,0.1,138,5.61,,4.4232000076293945,0.29335876909446723,0.41254794150924673,0.2560241480293274,20.802338963206157,0.1467271427736282
Chad,149,3.667,0.34193,0.1501,0.18386,0.23501,0.05269,144,3.763,0.42213999999999996,0.038239999999999996,0.18667,0.12807000000000002,0.04952,137,3.9360001087188703,0.43801298737525896,0.0411347150802612,0.21611385047435802,0.16234202682972002,0.0535818822681904,131,4.301,0.358,0.053,0.18100000000000002,0.18899999999999997,0.06,132,4.35,0.35,0.192,0.198,0.174,0.078,137,5.71,,4.003400021743774,0.3820165974750518,0.09489494301605225,0.19312877009487162,20.514060289547103,0.058758376453638086
Argentina,30,6.574,1.05351,0.78723,0.11450999999999999,0.44974,0.08484,26,6.65,1.15137,0.69711,0.10989000000000002,0.42283999999999994,0.07296,24,6.59899997711182,1.18529546260834,0.695137083530426,0.109457060694695,0.49451920390129106,0.05973988771438599,29,6.388,1.073,0.7440000000000001,0.062,0.57,0.054000000000000006,47,6.086,1.092,0.8809999999999999,0.066,0.47100000000000003,0.05,136,5.78,,6.4593999954223635,1.1110350925216683,0.7608954167060852,0.092371412138939,20.59829988627161,0.06430797754287719
Malawi,131,4.292,0.016040000000000002,0.22562,0.33128,0.43054,0.06977,132,4.156000000000001,0.08709,0.29364,0.30968,0.4143,0.07564,136,3.97000002861023,0.233442038297653,0.315089583396912,0.28717046976089505,0.466914653778076,0.0727116540074348,147,3.5869999999999997,0.18600000000000003,0.306,0.21,0.531,0.08,150,3.41,0.191,0.495,0.218,0.44299999999999995,0.08900000000000001,135,5.79,,3.883000005722046,0.14271440765953064,0.32706991667938246,0.271226093952179,20.439393521968295,0.07742433080148696
Myanmar,129,4.3069999999999995,0.27108000000000004,0.48246000000000006,0.79588,0.44017,0.19034,119,4.395,0.34112,0.3988,0.81971,0.42691999999999997,0.20243,114,4.54500007629395,0.36711055040359497,0.397522568702698,0.8380751609802249,0.514492034912109,0.188816204667091,130,4.308,0.682,0.429,0.598,0.58,0.17800000000000002,131,4.36,0.71,0.555,0.5660000000000001,0.525,0.172,134,5.81,,4.383000015258789,0.474262110080719,0.45255651374053957,0.723533032196045,20.328083147844588,0.18631724093341823
Burkina Faso,152,3.5869999999999997,0.25811999999999996,0.27125,0.21746999999999997,0.39493,0.12832000000000002,145,3.739,0.31995,0.21297,0.24353000000000002,0.3337,0.12533,134,4.03200006484985,0.35022771358490007,0.21584425866603896,0.250864684581757,0.32436785101890603,0.12032810598611803,121,4.4239999999999995,0.314,0.254,0.175,0.312,0.128,115,4.587,0.331,0.38,0.177,0.255,0.113,133,5.85,,4.07380001296997,0.31465954271698,0.2668128517332078,0.2127729369163514,20.067142550145554,0.12299562119722363
Cameroon,133,4.252,0.4225,0.23401999999999998,0.20618000000000003,0.49309,0.05786,114,4.513,0.5249699999999999,0.12697999999999998,0.2268,0.42736,0.06126,107,4.69500017166138,0.564305365085602,0.132892116904259,0.23629845678806302,0.430388748645782,0.0513066314160824,99,4.975,0.535,0.182,0.183,0.45399999999999996,0.043,96,5.044,0.5489999999999999,0.331,0.187,0.381,0.037000000000000005,132,5.85,,4.695800034332276,0.5191550730171204,0.20137842338085182,0.20785569135761262,20.00511982123511,0.05008532628321649
Gabon,143,3.8960000000000004,1.06024,0.43372,0.06822,0.31914000000000003,0.11091,134,4.121,1.15851,0.3494,0.062439999999999996,0.28098,0.09314,118,4.46500015258789,1.1982102394104,0.35657858848571794,0.0437853783369064,0.31232857704162603,0.0760467872023582,103,4.758,1.036,0.40399999999999997,0.032,0.35600000000000004,0.052000000000000005,104,4.7989999999999995,1.057,0.5710000000000001,0.043,0.295,0.055,131,5.86,,4.407800030517578,1.1019920478820802,0.4229397176971436,0.04988907566738128,19.774778368148805,0.07741935744047164
Sierra Leone,123,4.507,0.33024000000000003,0.0,0.21488000000000002,0.4084,0.08786000000000001,111,4.635,0.36485,0.0,0.23897,0.30685,0.08196,106,4.70900011062622,0.36842092871666,0.005564753897488121,0.293040901422501,0.318697690963745,0.0710951760411263,113,4.571000000000001,0.256,0.0,0.23800000000000002,0.355,0.053,129,4.374,0.268,0.242,0.252,0.309,0.045,130,5.87,,4.5592000221252444,0.317502185743332,0.04951295077949762,0.24737818028450018,19.652563955851967,0.06778303520822526
Mali,138,3.995,0.26074,0.20583,0.18798,0.38856999999999997,0.12352,135,4.073,0.31292,0.16347,0.21064000000000002,0.27544,0.13647,127,4.19000005722046,0.476180493831635,0.16936567425727803,0.183354198932648,0.306613743305206,0.10497024655342098,118,4.447,0.37,0.152,0.139,0.36700000000000005,0.055999999999999994,128,4.39,0.385,0.308,0.153,0.327,0.052000000000000005,129,5.93,,4.219000011444092,0.36096809876632696,0.19973313485145563,0.1747948397865296,19.51351767761503,0.09459204931068418
